friend,title,year,rating,tags
narmacil,Gwiezdne wojny: Przebudzenie Mocy,2015,6,"['Przygodowy', 'Sci-Fi']"
narmacil,Carol,2015,7,['Melodramat']
narmacil,Œmieræ w Wenecji,1971,7,"['Dramat', 'Kostiumowy']"
narmacil,Steve Jobs,2015,5,['Biograficzny']
narmacil,Particle Fever,2013,6,['Dokumentalny']
narmacil,W g³owie siê nie mieœci,2015,9,"['Animacja', 'Komedia']"
narmacil,Badlands,1973,8,"['Dramat', 'Thriller']"
narmacil,Spectre,2015,4,['Sensacyjny']
narmacil,Babadook,2014,5,['Horror']
narmacil,Marsjanin,2015,7,['Sci-Fi']
narmacil,Mamma Mia!,2008,4,"['Musical', 'Komedia rom.']"
narmacil,Selma,2014,4,"['Biograficzny', 'Dramat', 'Polityczny']"
narmacil,Sicario,2015,8,"['Dramat', 'Krymina³']"
narmacil,Everest,2015,5,"['Przygodowy', 'Thriller']"
narmacil,M³odoœæ,2015,9,['Dramat']
narmacil,Go³¹b przysiad³ na ga³êzi i rozmyœla o istnieniu,2014,7,"['Dramat', 'Komedia']"
narmacil,"Przyczajony tygrys, ukryty smok",2000,7,"['Fantasy', 'Przygodowy']"
narmacil,Miasteczko South Park,1999,6,"['Animacja', 'Komedia', 'Musical']"
narmacil,Stalker,1979,8,"['Sci-Fi', 'Dramat obyczajowy']"
narmacil,Niebiañskie dni,1978,7,['Dramat obyczajowy']
narmacil,Cienka czerwona linia,1998,8,"['Dramat', 'Wojenny']"
narmacil,Kryptonim U.N.C.L.E.,2015,6,"['Komedia', 'Akcja']"
narmacil,Samsara,2011,9,['Dokumentalny']
narmacil,Magia uczuæ,2006,3,"['Dramat', 'Fantasy', 'Przygodowy']"
narmacil,Konformista,1970,9,"['Dramat', 'Thriller', 'Psychologiczny']"
narmacil,Cz³owiek ze stali,2013,3,"['Akcja', 'Sci-Fi']"
narmacil,Lost River,2014,5,"['Fantasy', 'Thriller']"
narmacil,Jurassic World,2015,3,"['Przygodowy', 'Sci-Fi']"
narmacil,Bezdro¿a,2004,7,"['Dramat', 'Komedia', 'Romans']"
narmacil,Wielkie piêkno,2013,9,"['Dramat', 'Komedia']"
narmacil,Ostatnie dni w Wietnamie,2014,7,"['Dokumentalny', 'Wojenny']"
narmacil,Mad Max: Na drodze gniewu,2015,9,"['Sensacyjny', 'Sci-Fi']"
narmacil,Mad Max pod Kopu³¹ Gromu,1985,4,"['Sensacyjny', 'Sci-Fi']"
narmacil,Mad Max 2 - Wojownik szos,1981,5,"['Sensacyjny', 'Sci-Fi']"
narmacil,Pan Turner,2014,7,"['Biograficzny', 'Dramat']"
narmacil,Lewiatan,2014,8,['Dramat']
narmacil,Wada ukryta,2014,7,['Krymina³']
narmacil,Rok przemocy,2014,7,"['Dramat', 'Krymina³']"
narmacil,Chappie,2015,4,"['Akcja', 'Sci-Fi']"
narmacil,Kalwaria,2014,7,['Dramat']
narmacil,Ziemia obiecana,1974,6,['Obyczajowy']
narmacil,Pianistka,2001,8,['Dramat']
narmacil,Otch³añ. Opowieœæ o ¿yciu i œmierci,2011,6,"['Dokumentalny', 'Krymina³']"
narmacil,"Dwa dni, jedna noc",2014,7,['Dramat']
narmacil,Droga do zatracenia,2002,5,"['Dramat', 'Gangsterski']"
narmacil,Teoria wszystkiego,2014,3,"['Biograficzny', 'Dramat']"
